record_date,transportation,electricity,food,total_emission
2021-01-01,2791.41,3558.95,4894.34,11244.70
2021-01-02,2812.10,3584.01,4844.34,11240.45
2021-01-03,2791.01,3576.32,4881.43,11248.76
2021-01-04,2812.79,3563.11,4879.27,11255.17
2021-01-05,2772.56,3592.36,4815.50,11180.42
2021-01-06,2824.26,3577.68,4857.92,11259.86
2021-01-07,2793.45,3574.89,4833.07,11201.41
2021-01-08,2797.30,3588.89,4837.00,11223.19
2021-01-09,2819.77,3578.18,4836.75,11234.70
2021-01-10,2793.53,3586.97,4810.44,11190.94
2021-01-11,2800.31,3589.21,4852.60,11242.12
2021-01-12,2822.84,3588.08,4911.02,11321.94
2021-01-13,2830.90,3588.54,4861.19,11280.63
2021-01-14,2793.36,3591.11,4830.86,11215.33
2021-01-15,2815.31,3571.61,4879.55,11266.47
2021-01-16,2802.46,3552.83,4871.89,11227.18
2021-01-17,2776.01,3583.22,4820.21,11179.44
2021-01-18,2819.79,3562.61,4887.43,11269.83
2021-01-19,2790.05,3562.07,4857.58,11209.70
2021-01-20,2816.12,3554.62,4870.35,11241.09
2021-01-21,2809.34,3575.91,4918.38,11303.63
2021-01-22,2805.11,3572.45,4853.90,11231.46
2021-01-23,2836.69,3583.61,4807.24,11227.54
2021-01-24,2797.06,3570.80,4888.62,11256.48
2021-01-25,2798.58,3590.69,4847.74,11237.01
2021-01-26,2832.18,3575.63,4822.51,11230.32
2021-01-27,2809.07,3583.93,4796.55,11189.55
2021-01-28,2829.81,3576.98,4918.39,11325.18
2021-01-29,2804.65,3575.44,4855.71,11235.80
2021-01-30,2813.30,3612.46,4869.11,11294.87
2021-01-31,2802.63,3592.05,4905.87,11300.55
2021-02-01,2819.50,3588.01,4861.84,11269.35
2021-02-02,2812.27,3593.11,4843.95,11249.33
2021-02-03,2802.06,3570.84,4842.16,11215.06
2021-02-04,2794.48,3594.88,4851.53,11240.89
2021-02-05,2804.34,3575.06,4822.22,11201.62
2021-02-06,2821.53,3600.26,4877.17,11298.96
2021-02-07,2789.80,3572.66,4847.51,11209.97
2021-02-08,2806.82,3599.88,4893.19,11299.89
2021-02-09,2822.98,3607.19,4844.30,11274.47
2021-02-10,2788.41,3574.78,4892.74,11255.93
2021-02-11,2833.01,3570.38,4799.83,11203.22
2021-02-12,2812.68,3574.95,4854.26,11241.89
2021-02-13,2840.86,3579.21,4869.39,11289.46
2021-02-14,2807.03,3574.78,4810.15,11191.96
2021-02-15,2809.70,3587.11,4822.64,11219.45
2021-02-16,2810.64,3589.72,4861.78,11262.14
2021-02-17,2832.36,3585.76,4865.19,11283.31
2021-02-18,2810.49,3593.66,4825.39,11229.54
2021-02-19,2825.42,3553.89,4872.47,11251.78
2021-02-20,2830.46,3548.82,4841.12,11220.40
2021-02-21,2792.27,3552.19,4879.69,11224.15
2021-02-22,2804.44,3561.25,4915.31,11281.00
2021-02-23,2819.89,3551.17,4872.69,11243.75
2021-02-24,2799.74,3595.76,4875.97,11271.47
2021-02-25,2812.67,3617.81,4863.89,11294.37
2021-02-26,2827.03,3572.91,4843.68,11243.62
2021-02-27,2813.77,3568.45,4862.30,11244.52
2021-02-28,2804.30,3580.24,4884.40,11268.94
2021-03-01,2802.71,4119.42,4888.47,11810.60
2021-03-02,2822.97,4119.34,4857.18,11799.49
2021-03-03,2813.00,4089.39,4823.38,11725.77
