record_date,transportation,electricity,food,total_emission,day_of_week,month,day_of_month,is_weekend,emission_lag_1,emission_lag_7,emission_lag_14,emission_rolling_7,emission_rolling_30,time_idx,dataset
2021-01-31,2802.63,3592.05,4905.87,11300.55,6,1,31,1,11294.87,11256.48,11179.44,11252.744285714285,11242.172333333332,0,TRAIN
2021-02-01,2819.5,3588.01,4861.84,11269.35,0,2,1,0,11300.55,11237.01,11269.83,11259.039999999999,11244.034000000001,1,TRAIN
2021-02-02,2812.27,3593.11,4843.95,11249.33,1,2,2,0,11269.35,11230.32,11209.7,11263.66,11244.997333333333,2,TRAIN
2021-02-03,2802.06,3570.84,4842.16,11215.06,2,2,3,0,11249.33,11189.55,11241.09,11266.375714285716,11245.016333333335,3,TRAIN
2021-02-04,2794.48,3594.88,4851.53,11240.89,3,2,4,0,11215.06,11325.18,11303.63,11270.02,11243.679333333333,4,TRAIN
2021-02-05,2804.34,3575.06,4822.22,11201.62,4,2,5,0,11240.89,11235.8,11231.46,11257.978571428572,11245.695,5,TRAIN
2021-02-06,2821.53,3600.26,4877.17,11298.96,5,2,6,1,11201.62,11294.87,11227.54,11253.095714285713,11243.753666666667,6,TRAIN
2021-02-07,2789.8,3572.66,4847.51,11209.97,6,2,7,1,11298.96,11300.55,11256.48,11253.680000000002,11247.005333333333,7,TRAIN
2021-02-08,2806.82,3599.88,4893.19,11299.89,0,2,8,0,11209.97,11269.35,11237.01,11240.74,11246.564666666667,8,TRAIN
2021-02-09,2822.98,3607.19,4844.3,11274.47,1,2,9,0,11299.89,11249.33,11230.32,11245.102857142858,11248.737666666664,9,TRAIN
2021-02-10,2788.41,3574.78,4892.74,11255.93,2,2,10,0,11274.47,11215.06,11189.55,11248.694285714284,11251.522,10,TRAIN
2021-02-11,2833.01,3570.38,4799.83,11203.22,3,2,11,0,11255.93,11240.89,11325.18,11254.532857142856,11251.982333333332,11,TRAIN
2021-02-12,2812.68,3574.95,4854.26,11241.89,4,2,12,0,11203.22,11201.62,11235.8,11249.151428571427,11248.024999999998,12,TRAIN
2021-02-13,2840.86,3579.21,4869.39,11289.46,5,2,13,1,11241.89,11298.96,11294.87,11254.904285714287,11246.733666666667,13,TRAIN
