record_date,predicted_total_emission
2026-07-21,14619.789
2026-07-22,14630.277
2026-07-23,14639.058
2026-07-24,14645.964
2026-07-25,14648.439
2026-07-26,14653.115
2026-07-27,14638.731
2026-07-28,14642.848
2026-07-29,14646.431
2026-07-30,14650.552
2026-07-31,14655.251
2026-08-01,14664.855
2026-08-02,14660.476
2026-08-03,14660.811
2026-08-04,14661.553
2026-08-05,14661.961
2026-08-06,14663.0
2026-08-07,14664.728
2026-08-08,14668.093
2026-08-09,14670.172
2026-08-10,14667.779
2026-08-11,14670.847
2026-08-12,14673.039
2026-08-13,14675.463
2026-08-14,14678.215
2026-08-15,14681.222
2026-08-16,14681.971
2026-08-17,14676.905
2026-08-18,14679.609
2026-08-19,14681.776
